Query,Ambiguity Type,Ground Truth,Prediction,Status,Time,Similarity,Length
Which rivers cross London?,Toponymic Ambiguity,"Thames, Lea, Mole, Wandle, Ravensbourne"," Although London is not located directly on a river, it's surrounded by several significant waterways. The most notable ones are:

1. River Thames: The River Thames flows through the heart of London, and it's the longest river in England, stretching for 346 kilometers (215 miles). It enters London from the west and flows eastward towards the North Sea.

2. River Lea: This river joins the River Thames near the Tower of London. The River Lea rises in Hertfordshire and flows eastwards through the n...",hallucinated,243.4967692,0.544,503
Is there a Levi's store in Athens?,Toponymic Ambiguity,yes," Yes, there are several Levi's stores in Athens, Greece. Here are some of the locations:

1. Levi's Store - Attica Mall (Eleftherios Venizelos International Airport)
   Address: Spata Artemidos, 190 19 Attiki, Greece

2. Levi's Store - Golden Hall, Kolonaki Square
   Address: 38-40 Vasilissis Olgas Ave, Kolonaki, Athens 10671, Greece

3. Levi's Store - Mall Athena
   Address: Leoforos Alexandras 157, Marousi, Athens 15125, Greece

4. Levi's Store - Golden Hall, Monastiraki Square
   Address: 3 E...",hallucinated,265.9402232,0.0245,503
Which countries border Greece?,Relational Ambiguity,"Albania, Bulgaria, Turkey, North Macedonia"," Greece is bordered by several countries. Here they are, listed counterclockwise starting from the north:

1. North Macedonia
2. Albania
3. Bulgaria
4. Turkey
5. The Republic of Moldova (through the disputed region of Northern Epirus and the Aegean Sea) and Romania (across the Aegean Sea) are neighboring countries, but they do not share a land border with Greece.

In addition to these, Greece shares maritime borders with several other countries:

1. Italy and Malta in the west across the Ionian ...",hallucinated,174.4171593,0.594,503
How many cities are there in the United Kingdom?,Point-based height geometry,76 (as of 2024)," The number of cities in the United Kingdom can be a bit confusing due to differences in definitions. However, for administrative purposes, England has 50 metropolitan districts which are often referred to as cities. Wales has 9 principal areas and Scotland has 32 council areas with city status. In Northern Ireland, there are only two cities – Belfast and Londonderry (officially Derry). So in total, approximately 94 cities can be identified across the United Kingdom. This number may vary dependi...",hallucinated,138.2849536,0.0614,505
Which is the largest city in Greece?,Semantic & Temporal,Athens," The largest city in Greece is Athens. It's the country's capital and home to the famous Acropolis, a significant ancient Greek cultural and political center. Athens is also a major economic, political, and cultural hub in southeastern Europe.",hallucinated,174.6061006,0.6189,243
Does the river Thames flow through London?,Semantic & Temporal,yes," Yes, the River Thames does flow through London. It is one of the most famous and historically significant rivers in England, flowing through several historic cities including London, where it has been a focal point since ancient times. The city's development has grown around this great waterway, with many important landmarks, such as Tower Bridge, the Houses of Parliament, and the London Eye situated along its banks.",hallucinated,143.2209058,0.0522,421
What is the population of the capital of France?,Semantic & Temporal,"2.1 million (City of Paris, 2024 estimate), ~11 million (Metropolitan area)"," The capital of France is Paris. As of my last update, the estimated population of Paris (2019) was approximately 2.14 million people within city limits, and around 10.5 million in the broader metropolitan area known as the Paris Region or Île-de-France.",correct,153.3211286,0.7374,255
Which mountains are in Scotland?,Point-based height geometry,"Ben Nevis, Cairn Gorm, Ben Macdui"," Scotland is home to several notable mountain ranges, with the Scottish Highlands being particularly famous for their rugged landscapes and high peaks. Here are some of the most prominent ones:

1. Ben Nevis: Located in the Grampian Mountains, it's the highest mountain in the UK with a height of 1,345 meters (4,411 feet). It's a popular destination for mountaineers and hikers.

2. Scafell Pike: Although it's not in Scotland, it's worth mentioning as it's the highest mountain in England at 978 me...",hallucinated,312.0351934,0.218,503
Give me the cities of Germany with more than 1 million inhabitants.,Location & Spatial Granularity,"Berlin, Hamburg, Munich, Cologne"," Here are the cities in Germany with a population exceeding one million inhabitants:

1. Berlin - Approximately 3.7 million inhabitants (as of 2020)
2. Hamburg - Approximately 1.8 million inhabitants (as of 2020)
3. Munich - Approximately 1.5 million inhabitants (as of 2020)
4. Cologne - Approximately 1.1 million inhabitants (as of 2020)
5. Frankfurt - Approximately 718,000 inhabitants within the city limits, with over 6 million in the metropolitan area (Rhein-Main Region) (as of 2019)

These fi...",hallucinated,432.6125715,0.4887,503
Is Liverpool located on the eastern side of the Irish Sea?,Relational Ambiguity,yes," No, Liverpool is not located on the eastern side of the Irish Sea. It is actually situated on the western coast of England and faces the Irish Sea to its west. The eastern side of the Irish Sea is towards Ireland.",hallucinated,229.1838534,0.1009,214
