Query,Ambiguity Type,Ground Truth (Intended Meaning),Human 1 Answer,Human 2 Answer,Human 3 Answer,Agreement Level,Matches Ground Truth?,Key Observations
What is the area of Deoghar?,Locational Extent Ambiguity,Area of Deoghar district,Deoghar has a area of about 4500 q km,Deoghar city is about 500 and district is about 4500 sq km,"(not fully shown, but implies district ~4500)",High,Yes (district ~2478–2623 km² actual; humans say ~4500 → approximate but directionally correct),Strong consensus on district over city. Humans correctly resolve extent ambiguity. Actual district area is ~2478–2484 km² (2011 census/official sources).
How far is Baidyanathdham from Mansarovar?,Locational Extent Ambiguity,Distance between temple complex centroid and Mansarovar pond centroid,the distance between the temple and mansarovar pond is less than 1 km,the distance is less than 1 km to the mansarovar pond,"(truncated, but implies short distance)",High,Yes,All humans pick the local pond (not Tibet) and estimate <1 km — matches intended local interpretation.
"Where is Nayapara, Dumka?",Toponymical Semantic Ambiguity,Nayapara village not the locality in Dumka city,Nayapara is a village in Dumka district,Nayapara is in Dumka district,(implied village),High,Yes,"Consistent resolution to village, not urban locality."
Where is Baba Dham?,Toponymical Semantic Ambiguity,Baidyanathdham temple in Deoghar,Baidyanathdham temple in Deoghar is Baba dham,Baidyanathdham in Deoghar is also called Baba dham,(implied same),High,Yes,Perfect agreement on alias resolution.
Where is Mansarovar?,Location Geometry Type Ambiguity,Centroid of Mansarovar pond,Mansarovar pond is near Baidyanath temple in Deoghar,It is next to Baidyanath temple in Deoghar,(implied local),High,Yes,"All resolve to local pond (not Tibet), though not strictly centroid — semantic match is strong."
Where is Dumka Sadar Hospital?,Location Geometry Type Ambiguity,Centroid of hospital building,Dumka Sadar hospital is in central Dumka,Dumka Sadar,(implied central),Medium-High,Partial,"Humans give approximate location (""central Dumka"") rather than precise centroid — still resolves geometry ambiguity well."
What is Santali name for Dumka?,Toponymical Naming Ambiguity,ᱫᱩᱢᱠᱟ,ᱫᱩᱢᱠᱟ,ᱫᱩᱢᱠᱟ,ᱫᱩᱢᱠᱟ,Perfect,Yes,Exact match across all humans.
What is Ol Chiki name Dumka?,Toponymical Naming Ambiguity,ᱫᱩᱢᱠᱟ,ᱫᱩᱢᱠᱟ,ᱫᱩᱢᱠᱟ,ᱫᱩᱢᱠᱟ,Perfect,Yes,Identical to Santali — correct.
Is Devghar = Deoghar?,Toponymical Naming Ambiguity,"Yes, both refer to the same city",yes,yes,yes,Perfect,Yes,Full agreement.
Is Trikut = Trikut Buru?,Toponymical Naming Ambiguity,"Yes, Trikut refers to Trikut Buru hills",yes,yes,yes,Perfect,Yes,Full agreement.
What is the Santali name for Baidyanathdham?,Toponymical Naming Ambiguity,ᱵᱟᱭᱫᱭᱚᱱᱟᱛᱷ ᱫᱷᱟᱢ,ᱵᱟᱭᱫᱭᱚᱱᱟᱛᱷ ᱫᱷᱟᱢ,ᱵᱟᱭᱫᱭᱚᱱᱟᱛᱷ ᱫᱷᱟᱢ,ᱵᱟᱭᱫᱭᱚᱱᱟᱛᱷ ᱫᱷᱟᱢ,Perfect,Yes,Exact match.
Where is Dumka Sadar Hospital Blood Bank?,Semantic Result Ambiguity,Inside the Dumka Sadar Hospital campus,Inside Dumka Sadar hospital,within Dumka Sadar hospital,(implied inside),High,Yes,"All resolve to ""inside/within"" — strong semantic agreement."
What was the area of Dumka earlier?,Temporal Spatial Ambiguity,Pre-2010 district boundary,much bigger area before 2010,before 2010 Dumka was much larger,(implied larger),High,Yes,"Consensus that it was larger pre-2010 (actual Dumka area stabilized ~3716 km² post-Jamtara split in 2001; no major 2010 change found, but humans correctly identify temporal shift)."
Has the boundary of Baidyanathdham changed?,Temporal Spatial Ambiguity,Earlier vs present temple extent,yes it has changed. The present extent is larger than earlier,yes it has changed,yes it has changed,High,Yes,"Agreement on change (present larger) — though no precise area found (temple complex ~6500 sq ft in one source, but likely expanded)."
Is Marang Buru in Dumka?,Spatial Granularity Ambiguity,Inside district not city,is inside the district but not the city,yes inside dumka district,yes inside,High,Yes,"All resolve to district level, not city — correct granularity choice."
