Query,Ambiguity Type,Ground Truth,Prediction,Status,Time,Similarity,Length
What is the area of Deoghar?,Locational Extent Ambiguity,Area of Deoghar district," Deoghar is a city and municipal corporation in Jharkhand, India. However, the exact area of Deoghar can vary depending on the administrative boundaries used for different purposes. As of my last update, the municipal corporation of Deoghar has an area of approximately 23 square kilometers (9 square miles).

For a broader view of the region, the district of Deoghar has an area of about 1,748 square kilometers (675 square miles). But please verify from a reliable local source for the most accurat...",correct,61.50664115,0.7759,503
How far is Baidyanathdham from Mansarovar?,Locational Extent Ambiguity,Distance between temple complex centroid and Mansarovar pond centroid," Baidyanath Dham is located in India, specifically in the state of Jharkhand, and Mansarovar is a sacred lake in Tibet, China. The distance between these two locations can vary greatly depending on the route taken.

The shortest air travel distance (as the crow flies) is approximately 2400 kilometers, but due to geographical barriers such as mountains and the lack of direct flights between India and Tibet, the actual travel distance is much longer. For overland travel, it's impractical to provid...",hallucinated,289.4176023,0.3343,503
How far apart are the hills of Trikut Buru?,Locational Extent Ambiguity,Distance between the three peak points," The Hills of Trikut Buru, located in the Indian state of Jharkhand, are approximately 3 kilometers apart. These three peaks are known as Dhool Hill, Suryamukhi Hill, and Bhawanath Hill. However, it's important to note that the exact distance between them can vary slightly due to their irregular shape.",hallucinated,121.5420599,0.4212,303
What is the extent of Marang Buru?,Locational Extent Ambiguity,Area of the hill region defined by slope < 2°," Marang Buru refers to a district in Indonesia, specifically in the province of Maluku. It's part of the Central Maluku Regency and is located on the island of Halmahera. However, without more specific context, it's difficult to provide the exact extent or size of the Marang Buru district as it can vary over time due to administrative changes. For precise information, you may want to refer to official sources such as Indonesia's Statistics Bureau (BPS) or other reliable geographical databases.",hallucinated,127.8753321,0.0785,498
How far is Trikut Buru from Marang Buru?,Locational Extent Ambiguity,Centroid of Trikut hills to centroid of Marang Buru," I'm sorry for any inconvenience, but I'm unable to provide exact distances between specific locations without knowing the geographical coordinates of both Trikut Buru and Marang Buru. These coordinates are typically longitude and latitude values that uniquely identify a location on Earth. If you have access to this information, I'd be more than happy to help calculate the distance between them!",hallucinated,118.8947995,0.5142,398
What is the size of Baidyanathdham?,Locational Extent Ambiguity,Area of the temple complex only," I don't have real-time data, but as of information available online, the Baidyanath Dham temple complex in Deoghar, India, covers an area of approximately 25 acres (about 10 hectares). The main temple is said to be around 80 feet (about 24 meters) tall. However, these dimensions can vary slightly depending on the sources and the exact areas being referred to within the complex.",hallucinated,118.6749887,0.5264,381
How long is the Marang Buru ridge?,Locational Extent Ambiguity,Length along the ridge line," The Marang Buru Ridge, located in Sabah, Malaysia, is a significant karst formation but its exact length isn't clearly defined due to its complex and irregular shape. However, it's often described as being approximately 30 kilometers long. But for accurate measurements, it's best to refer to geographical surveys or experts on the subject.",hallucinated,106.6613443,0.3622,341
What is the extent of Trikut Buru?,Locational Extent Ambiguity,Area enclosed by the three peaks," Trikut Buru, also known as Trikuta or Trikuteshwar, is a Hindu religious complex located in the town of Gaya in Bihar, India. It's one of the most important pilgrimage sites for Jains and Hindus.

The complex consists of three hills: Vishnupad, Brahma-Shila, and Ushabhuni or Griddhakuta. The main hill is Vishnupad, where the footprint of Lord Vishnu is believed to be imprinted on a stone called ""Vishnupad"".

The extent of Trikut Buru isn't precisely defined as it includes these three hills and ...",hallucinated,150.1345644,0.2311,503
How wide is Dumka city?,Locational Extent Ambiguity,East-west span of Dumka municipal boundary," Dumka is a city and a municipal corporation in the Indian state of Jharkhand. However, I don't have real-time data or the ability to find up-to-date information about city sizes. As of my last update, Dumka has an area of approximately 27.68 square kilometers (10.69 square miles). But for the most accurate and current information, I would recommend checking with official sources such as the city administration or census data.",correct,116.3292224,0.7176,430
Distance from Deoghar railway station to the edge of the district?,Locational Extent Ambiguity,Shortest path to Deoghar district boundary," The Deoghar district in Jharkhand, India, does not have a definitive edge or boundary that can be easily defined as the ""edge of the district."" However, if you're asking for the distance from Deoghar Railway Station to the outskirts of Deoghar town, which is the administrative center of the district, it would be approximately 4.5 kilometers (around 2.8 miles).

If you meant something different by ""the edge of the district,"" I recommend referring to a map or consulting with local authorities for...",correct,120.150892,0.7421,503
What is the distance between Parasnath Hill and Marang Buru?,Toponymical Semantic Ambiguity,Parasnath Hill in Giridih district," Parasnath Hill is located in India, while Marang Buru is located on Borneo island, Indonesia. The exact distance between these two locations cannot be determined directly due to their geographical separation. However, if you are interested in the shortest air travel distance, it's approximately 1,780 miles (2,865 kilometers). Keep in mind that this is not a driving distance and will require air travel. For an accurate driving distance or travel time between two specific cities near these locati...",hallucinated,119.9889097,0.5516,503
"Where is Nayapara, Dumka?",Toponymical Semantic Ambiguity,Nayapara village not the locality in Dumka city," Nayapara is a village in the Dumka district of Jharkhand, India. It is located approximately 40 kilometers east of Dumka town and falls under the jurisdiction of the Sishwan Block. However, for precise coordinates or exact location details, I would recommend checking a reliable online map service like Google Maps, OpenStreetMap, or Bing Maps, as they provide more accurate and detailed information.",correct,115.1310358,0.7802,401
Where is Parasnath?,Toponymical Semantic Ambiguity,Parasnath Hill in Jharkhand," Parasnath is a mountain range located in the Chhota Nagpur plateau in Jharkhand, India. The highest peak in this range, Parasnath Hill, is considered sacred by the Digambar Jain community as it's believed to be the place where their 23rd Tirthankara, Lord Parshvanath, achieved final liberation (Moksha). However, if you are referring to a different location named Parasnath, please provide more context for a more accurate response.",correct,123.0587692,0.782,434
What is the height of Marang Buru?,Toponymical Semantic Ambiguity,The sacred Marang Buru hill in Dumka," Marang Buru is a volcanic mountain in Indonesia, specifically on the island of Sumba. However, I'm unable to provide the exact height without checking a reliable source, as my knowledge cutoff is 2017 and information about geographical features may have changed since then. For accurate information, you can refer to more current sources such as Google or Wikipedia.",hallucinated,113.8137217,0.594,367
Where is Baba Dham?,Toponymical Semantic Ambiguity,Baidyanathdham temple in Deoghar," Baba Dham, also known as Takhat Shri Harmandir Sahib Ji or simply Harmandir Sahib, is a significant Sikh temple located in Amritsar, Punjab, India. It's one of the five Takhts (thrones) of Sikhism and is the spiritual and cultural heart of Sikhism. The temple was founded by the fourth Sikh Guru, Guru Ram Das, in 1574. The present-day structure was built by the sixth Sikh Guru, Guru Hargobind, between 1604 and 1607.",hallucinated,127.7168558,0.3916,419
Is there a Mansarovar in Dumka?,Toponymical Semantic Ambiguity,Mansarovar pond inside the temple complex," No, there is no Mansarovar in Dumka. Mansarovar is a high-altitude lake located in Tibet Autonomous Region of China, near Mount Kailash and Lake Rakshastal. Dumka is a district in the Indian state of Jharkhand. While Dumka does have beautiful natural sites like the Sariyadih Waterfall and the Rajrappa Temple, it doesn't have a Mansarovar.",hallucinated,116.9856184,0.5416,341
Where is Trikut?,Toponymical Semantic Ambiguity,Trikut Buru hill complex in Deoghar," Trikut is a village in the Palghar district of Maharashtra, India. It's most notably known as a pilgrimage site because it houses three temples dedicated to Lord Vishnu - Grishneshwar, Someshwar, and Bhimeshwar, which together are often referred to as the ""Trimbakeshwar Jyotirlingas."" This makes Trikut an important place of worship for Hindus.",hallucinated,124.5609453,0.4618,346
Where is Marang Buru located?,Toponymical Semantic Ambiguity,Marang Buru sacred hill in Dumka," Marang Buru is a small island in the Maluku Islands, Indonesia. Specifically, it's part of the North Maluku province and belongs to the Bacan Island group. It's located in the western Pacific Ocean.",hallucinated,101.0035603,0.5988,199
Where is Mansarovar?,Location Geometry Type Ambiguity,Centroid of Mansarovar pond," Mansarovar is a high-altitude freshwater lake located in the Tibet Autonomous Region of China, near the border with Nepal and India. It's part of the Trans-Himalayan region. The lake is known for its religious significance in Hinduism, Buddhism, and Jainism, and it's often visited by pilgrims from these religions. The city of Paryang, which belongs to Tibet Autonomous Region, China, is usually used as the starting point for a journey to Mansarovar and Lake Rakshastal (which is nearby).",hallucinated,125.8869331,0.5414,491
Where is Trikut Buru?,Location Geometry Type Ambiguity,Centroid of the hill complex," Trikut Buru, also known as the Three Peaks of Buru, is a geological formation located on the island of Buru in the Bismarck Archipelago, which is part of Papua New Guinea. The three peaks are remnants of an extinct volcano and they stand at approximately 1400 meters tall. It's a famous destination for rock climbers due to its unique and challenging climbing conditions.",hallucinated,112.7753444,0.2829,372
What is the location of Marang Buru?,Location Geometry Type Ambiguity,Peak point of the hill," Marang Buru is a small island located in the Maluku province, specifically within the Banda Islands of Indonesia. It's part of the Banda Sea. The exact coordinates are approximately 4°35'00""S 126°49'00""E.",hallucinated,99.38776517,0.0628,207
Where is Dumka Sadar Hospital?,Location Geometry Type Ambiguity,Centroid of hospital building," Dumka Sadar Hospital is located in Dumka, a city in the Indian state of Jharkhand. The exact address is:

Dumka Sadar Hospital
Main Road, Near Bus Stand, Dumka, Jharkhand 815301
India

You can find this location on maps provided by Google Maps or other navigation services for directions if needed.",hallucinated,114.6139948,0.238,299
Distance between Deoghar and Dumka?,Location Geometry Type Ambiguity,City centroid to city centroid, The distance between Deoghar and Dumka is approximately 165 kilometers (around 102 miles) by road. This distance can vary slightly depending on the exact locations within these towns you are referring to.,hallucinated,97.68463349,0.099,205
What is Santali name for Dumka?,Toponymical Naming Ambiguity,ᱫᱩᱢᱠᱟ," The Santali name for the city of Dumka, which is located in the Indian state of Jharkhand, is ""Dumkagarh"" or ""Dumka-garh"". This name translates to ""the fort of Dumka"", referencing the hill on which the city was originally built. However, it's important to note that the Santali language has multiple dialects, and the exact term may vary slightly depending on the specific dialect being used.",hallucinated,108.9088266,0.042,393
What is Ol Chiki name Dumka?,Toponymical Naming Ambiguity,ᱫᱩᱢᱠᱟ," In the Ol Chiki script used for writing the Santali language, there isn't a direct equivalent for the word ""Dumka."" However, if we were to phonetically translate the word ""Dumka"" into Santali, it might be close to ""Dumkha."" But remember, this is just an approximation and may not be fully accurate or acceptable within the Santali community. It's always best to consult with a native speaker for precise translations.",hallucinated,117.2622054,0.0572,418
Is Devghar = Deoghar?,Toponymical Naming Ambiguity,"Yes, both refer to the same city"," Yes, Devghar is often referred to as Deoghar. Both names refer to a city in India's Jharkhand state, famous for the Baidyanath Dham temple complex, which is a significant pilgrimage site for Hindu followers of Shaivism. The correct spelling according to English conventions would be Deoghar.",hallucinated,106.4272466,0.3252,292
Is Trikut = Trikut Buru?,Toponymical Naming Ambiguity,"Yes, Trikut refers to Trikut Buru hills"," In Sanskrit, ""Trikut"" means a triangular shape. However, the term ""Trikut Buru"" is not commonly recognized in standard Sanskrit or any other major language. It could be a proper name, title, or an unusual phrase, but without more context, it's challenging to provide a precise interpretation. If you have additional information about its origin or meaning, I might be able to help further!",correct,113.9233027,0.7434,390
