Query,Ambiguity Type,Ground Truth,Prediction,Status,Time,Similarity,Length
What is the area of Deoghar?,Locational Extent Ambiguity,Area of Deoghar district,City area of Deoghar,correct,51.81302738,0.8982,20
How far is Baidyanathdham from Mansarovar?,Locational Extent Ambiguity,Distance between temple complex centroid and Mansarovar pond centroid,Temple complex to pond using road distance,hallucinated,47.99028206,0.6444,42
How far apart are the hills of Trikut Buru?,Locational Extent Ambiguity,Distance between the three peak points,Distance between each other among the hills of Trikut Buru,hallucinated,150.4407761,0.468,58
What is the extent of Marang Buru?,Locational Extent Ambiguity,Area of the hill region defined by slope < 2°,The spatial expanse or area covered by the Marang Buru hill in Dumka.,hallucinated,217.6724844,0.3166,69
How far is Trikut Buru from Marang Buru?,Locational Extent Ambiguity,Centroid of Trikut hills to centroid of Marang Buru,Distance between Trikut Buru and Marang Buru.,hallucinated,209.2467432,0.557,45
What is the size of Baidyanathdham?,Locational Extent Ambiguity,Area of the temple complex only,Area in square metres (or hectares),hallucinated,119.102654,0.3414,35
How long is the Marang Buru ridge?,Locational Extent Ambiguity,Length along the ridge line,Length or extent of the ridgeline of the Marang Buru hill.,hallucinated,128.7664981,0.5305,58
What is the extent of Trikut Buru?,Locational Extent Ambiguity,Area enclosed by the three peaks,Extent of Trikut Buru refers to its geographical area or size.,hallucinated,118.0288856,0.2665,62
How wide is Dumka city?,Locational Extent Ambiguity,East-west span of Dumka municipal boundary,Width (or breadth) of Dumka city in square kilometres.,correct,115.4777668,0.7522,54
Distance from Deoghar railway station to the edge of the district?,Locational Extent Ambiguity,Shortest path to Deoghar district boundary,Distance from Deoghar railway station to the boundary of the district,correct,110.2008505,0.7474,69
What is the distance between Parasnath Hill and Marang Buru?,Toponymical Semantic Ambiguity,Parasnath Hill in Giridih district,Distance between Parasnath Hill and Marang Buru.,correct,148.4511318,0.6752,48
"Where is Nayapara, Dumka?",Toponymical Semantic Ambiguity,Nayapara village not the locality in Dumka city,Nayapara is located in the Dumka district.,correct,112.8847172,0.858,42
Where is Parasnath?,Toponymical Semantic Ambiguity,Parasnath Hill in Jharkhand,Parasnath is located in the Giridih district.,correct,119.5736053,0.7226,45
What is the height of Marang Buru?,Toponymical Semantic Ambiguity,The sacred Marang Buru hill in Dumka,Height above sea level of Marang Buru hill.,hallucinated,124.6976178,0.6061,43
Where is Baba Dham?,Toponymical Semantic Ambiguity,Baidyanathdham temple in Deoghar,"Baba Dham refers to the Baidyanathdham temple complex, located in Deoghar.",correct,116.2331188,0.7661,74
Is there a Mansarovar in Dumka?,Toponymical Semantic Ambiguity,Mansarovar pond inside the temple complex,"Yes, there is a Mansarovar located within Dumka district.",hallucinated,124.8318894,0.462,57
Where is Trikut?,Toponymical Semantic Ambiguity,Trikut Buru hill complex in Deoghar,"Located in Jharkhand, India.",hallucinated,104.5355597,0.3435,28
Where is Marang Buru located?,Toponymical Semantic Ambiguity,Marang Buru sacred hill in Dumka,"Marang Buru is located in Dumka, Jharkhand.",correct,130.6671309,0.7201,43
Where is Mansarovar?,Location Geometry Type Ambiguity,Centroid of Mansarovar pond,"Located in the Indian state of Uttarakhand, near Mount Kailash.",hallucinated,126.591295,0.1495,63
Where is Trikut Buru?,Location Geometry Type Ambiguity,Centroid of the hill complex,"Trikut Buru hills are located in Deoghar, Jharkhand.",hallucinated,116.1281972,0.2438,52
What is the location of Marang Buru?,Location Geometry Type Ambiguity,Peak point of the hill,"Marang Buru is located in Dumka district, Jharkhand.",hallucinated,103.0507433,0.0815,52
Where is Dumka Sadar Hospital?,Location Geometry Type Ambiguity,Centroid of hospital building,The Dumka Sadar Hospital is located within the Dumka district.,hallucinated,123.8972805,0.2373,62
Distance between Deoghar and Dumka?,Location Geometry Type Ambiguity,City centroid to city centroid,Road distance between Deoghar and Dumka,hallucinated,108.9961386,0.0779,39
What is Santali name for Dumka?,Toponymical Naming Ambiguity,ᱫᱩᱢᱠᱟ,ᱫᱩᱢᱠᱟ (Dumka in Santali language),hallucinated,109.0249321,0.3403,43
What is Ol Chiki name Dumka?,Toponymical Naming Ambiguity,ᱫᱩᱢᱠᱟ,ᱫᱩᱢᱠᱟ (Ol Chiki script for Dumka),hallucinated,110.4108856,0.3151,43
Is Devghar = Deoghar?,Toponymical Naming Ambiguity,"Yes, both refer to the same city","Yes, Devghar is the same as Deoghar.",hallucinated,90.67165756,0.2422,36
Is Trikut = Trikut Buru?,Toponymical Naming Ambiguity,"Yes, Trikut refers to Trikut Buru hills",Trikut and Trikut Buru refer to the same location.,correct,117.1125412,0.8155,50
What is the Santali name for Baidyanathdham?,Toponymical Naming Ambiguity,ᱵᱟᱭᱫᱭᱚᱱᱟᱛᱷ ᱫᱷᱟᱢ in Ol Chiki,Name of Baidyanathdham in Santali language,hallucinated,114.6278789,0.2011,42
What is the old name of Marang Buru?,Toponymical Naming Ambiguity,Pre-colonial Santali name of the sacred hill,The old name of Marang Buru is not specified in the provided examples.,hallucinated,108.8280187,0.3223,70
What is the Ol Chiki spelling of Mansarovar?,Toponymical Naming Ambiguity,ᱢᱟᱱᱥᱟᱨᱚᱣᱟᱨ (local pond reference),ᱫᱩᱢᱠᱟ मानसरोवर (Ol Chiki spelling of Mansarovar),hallucinated,120.7033355,0.1726,74
Historical aliases of Parasnath Hill?,Toponymical Naming Ambiguity,Shri Parshvanath and related historical names,Historical names of Parasnath Hill,hallucinated,121.9526718,0.4734,34
Is Baba Dham the same as Baidyanathdham?,Toponymical Naming Ambiguity,Yes both refer to the same temple complex,"Yes, Baba Dham and Baidyanathdham are the same.",hallucinated,105.4910302,0.381,47
Which pond is near Baidyanathdham?,Relational Semantic Ambiguity,Mansarovar pond using road distance,Pond(s) located near the temple complex of Baidyanathdham.,hallucinated,166.9811997,0.4245,58
