Query,Ambiguity Type,Ground Truth,Prediction,Status,Time,Similarity,Length
Which rivers cross London?,Toponymic Ambiguity,"Thames, Lea, Mole, Wandle, Ravensbourne","Rivers do not cross London, as London is a city in England and does not contain any rivers. However, the Thames River flows through London.",hallucinated,142.6275527,0.4105,139
Is there a Levi's store in Athens?,Toponymic Ambiguity,yes,"There is no Levi's store in Athens, Greece. (Assuming the user is referring to the city in Greece and not Jharkhand, India.)",hallucinated,143.7620647,0.0198,124
Which countries border Greece?,Relational Ambiguity,"Albania, Bulgaria, Turkey, North Macedonia",Countries sharing a boundary with Greece.,hallucinated,127.0767522,0.5446,41
How many cities are there in the United Kingdom?,Point-based height geometry,76 (as of 2024),"Number of cities in the United Kingdom, not referring to Jharkhand, India.",hallucinated,257.5965867,0.0763,74
Which is the largest city in Greece?,Semantic & Temporal,Athens,"City vs country confusion. The query refers to a city in Greece, not the country itself. No specific city is provided, so the exact intended meaning cannot be determined without additional context or specification of a particular city.",hallucinated,278.7815888,0.4999,235
Does the river Thames flow through London?,Semantic & Temporal,yes,The River Thames passes through London.,hallucinated,147.7869806,0.0552,39
What is the population of the capital of France?,Semantic & Temporal,"2.1 million (City of Paris, 2024 estimate), ~11 million (Metropolitan area)",Population of Paris (the capital of France),hallucinated,195.5085454,0.6368,43
Which mountains are in Scotland?,Point-based height geometry,"Ben Nevis, Cairn Gorm, Ben Macdui",Mountains located in Scotland,hallucinated,135.2953184,0.2619,29
Give me the cities of Germany with more than 1 million inhabitants.,Location & Spatial Granularity,"Berlin, Hamburg, Munich, Cologne",Cities in Germany with a population exceeding one million people.,hallucinated,162.6958997,0.4468,65
Is Liverpool located on the eastern side of the Irish Sea?,Relational Ambiguity,yes,"Yes, Liverpool is located on the western side of the Irish Sea.",hallucinated,117.4078431,0.167,63
Which states border Texas?,Location & Spatial Granularity,"New Mexico, Oklahoma, Arkansas, Louisiana",Countries that share a border with Texas,hallucinated,321.739172,0.4411,40
What are the neighboring countries of Germany?,Location & Spatial Granularity,"Denmark, Poland, Czech Republic, Austria, Switzerland, France, Luxembourg, Belgium, Netherlands",Countries sharing a border with Germany,hallucinated,483.7670767,0.4804,39
Which city is the capital of Italy?,Semantic & Temporal,Rome,City where the Italian government resides (Rome),correct,185.639292,0.6682,48
How many hotels in Belfast are at most 2km from George Best Belfast City Airport?,Relational Ambiguity,"Varies, usually 3-5 major hotels within that radius",Number of hotels within 2 kilometers of George Best Belfast City Airport,hallucinated,165.5190153,0.471,72
Is Corsica larger than Crete?,Geometric Ambiguity,yes,Area of Corsica is greater than area of Crete.,hallucinated,261.9775045,0.0225,46
Which rivers flow through more than three countries?,Location & Spatial Granularity,"Danube, Rhine, Drava.",Rivers that cross the borders of more than three nations.,hallucinated,357.0831568,0.4608,57
What is the highest mountain in Greece?,Geometric Ambiguity,"Los Angeles, San Francisco, San Diego, Sacramento",Highest elevation peak in Greece,hallucinated,361.4951177,0.1115,32
Which cities are located in the state of California?,Toponymic Ambiguity,"Los Angeles, San Francisco, San Diego, Sacramento",Cities located within the state of California.,correct,740.8107743,0.6913,46
What are the coordinates of Paris?,Toponymic Ambiguity,"48.8566 N, 2.3522 E","Coordinates of Paris are (48.8567, 2.3508) in latitude and longitude respectively.",hallucinated,1301.336125,0.376,82
Which sea borders both Greece and Italy?,Relational Ambiguity,Ionian Sea,Ionian Sea borders both Greece and Italy.,correct,183.5987465,0.7567,41
Are there any volcanoes in Italy?,Point-based height geometry,yes,Volcanoes are located within Italy.,hallucinated,224.0653284,0.0316,35
What is the elevation of Mount Olympus?,Semantic & Temporal,2917 m,Height above sea level of Mount Olympus,hallucinated,124.5768867,0.113,39
Which island is the largest in the Mediterranean?,Point-based height geometry,"By Land Area: Sicily (approx. 25,711 ) By Coastline Length: Sardinia (approx. 1,849 km)",Largest island in the Mediterranean Sea.,hallucinated,132.6737158,0.5401,40
How many bridges are in Venice?,Location & Spatial Granularity,~400 (often cited as 391 or 435),"Number of bridges present within the polygon of Venice, Italy.",hallucinated,236.6444764,0.145,62
Which lake is the largest in Europe?,Geometric Ambiguity,"Lake Ladoga, Russia",Area of the largest lake in square kilometres (in Europe),hallucinated,153.4055681,0.4744,57
Average,,,,,277.7148435,0.356096,63.52
